	country	alcohol	deaths	heart	liver
0	Australia	2.5	785	211	15.300000190734863
1	Austria	3.900000095367432	863	167	45.59999847412109
2	Belg/Lux	2.900000095367432	883	131	20.700000762939453
3	Canada	2.400000095367432	793	191	16.399999618530273
4	Denmark	2.900000095367432	971	220	23.899999618530277
5	Finland	0.800000011920929	970	297	19.0
6	France	9.100000381469728	751	71	37.900001525878906
7	Iceland	0.800000011920929	743	211	11.199999809265137
8	Ireland	0.699999988079071	1000	300	6.5
9	Israel	0.6000000238418579	834	183	13.699999809265137
10	Italy	7.900000095367432	775	107	42.20000076293945
11	Japan	1.5	680	36	23.200000762939453
12	Netherlands	1.7999999523162842	773	167	9.199999809265137
13	New Zealand	1.899999976158142	916	266	7.699999809265137
14	Norway	0.800000011920929	806	227	12.199999809265137
15	Spain	6.5	724	86	36.400001525878906
16	Sweden	1.600000023841858	743	207	11.199999809265137
17	Switzerland	5.800000190734863	693	115	20.299999237060547
18	UK	1.2999999523162842	941	285	10.300000190734863
19	US	1.2000000476837158	926	199	22.100000381469727
20	West Germany	2.700000047683716	861	172	36.70000076293945
